cv_score,test_score,runtime,num_layers,dense_layer_identifier,depth,n_estimators,dense_net_tree,dense_net_dense,weighted_concat,learning_rate_weights,learning_rate_index,learning_rate_values,learning_rate_leaf,cosine_decay_steps,dropout,selected_variables,data_subset_fraction,focalLossGamma,optimizer,initializer,estimator_leaf_weights,estimator_neural_weights,weight_activation_st,objective,loss
0.6988299151395839,0.6988299151395839,69.92524883076548,1,[],6,512,True,False,True,0.00029375384576328325,0.006194745024628934,0.12207764786954153,0.045918988705873284,100,0.0,0.6521211214797689,0.9049512863264476,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.7211693626131132,0.7211693626131132,101.97229074183852,1,[],4,2048,True,False,True,0.0226739865237804,0.010443820094525779,0.03332762947392949,0.04446862319918233,0.1,0.25,0.6523068845866853,0.8195344228012769,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.719635208854694,0.719635208854694,84.13750032410026,1,[],6,1024,True,False,True,0.009717775305059635,0.015788826347222458,0.03405259191324469,0.03756926249576086,0.1,0.5,0.5442462510259598,0.8391965724838291,3,SWA,RandomNormal,True,False,normalize,classification,focal_crossentropy
0.6510139155049478,0.6510139155049478,102.19397541675717,1,[],4,512,True,False,True,0.004247058562261873,0.00840889766039911,0.09641346525108922,0.006582708259159313,0,0.0,0.8856351733429728,0.8148089303468181,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.72075697321925,0.72075697321925,34.97608419861645,1,[],4,512,True,False,True,0.0009452571391072313,0.07376373043637946,0.05252611998161658,0.13192832331971246,1000,0.25,0.7613664146909971,0.8855082036717099,3,SWA,RandomNormal,True,False,normalize,classification,focal_crossentropy
0.6512319236151403,0.6512319236151403,213.45731928702443,1,[],6,2048,True,False,True,0.0005595986878006087,0.02272103268578588,0.08117237532584634,0.011628357933470824,1000,0.5,0.9018360384495572,0.8373140117772072,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.6875119456684096,0.6875119456684096,131.4375629795715,1,[],6,512,True,False,True,0.0019112758217777906,0.10220655100897388,0.11964981600016374,0.0051298862421274944,0,0.25,0.7593953108716831,0.9406037917790355,3,SWA,RandomNormal,True,False,normalize,classification,focal_crossentropy
0.7123752706351816,0.7123752706351816,111.01451181080192,1,[],4,512,True,False,True,0.0001290211302456716,0.04737275431765394,0.03193684098521171,0.006045636790727154,0.1,0.25,0.8360677737029393,0.9523239230657435,3,SWA,RandomNormal,True,False,normalize,classification,focal_crossentropy
0.6962574064098596,0.6962574064098596,218.22820422947407,1,[],6,512,True,False,True,0.03205586399070751,0.016325966929573728,0.009949101178390544,0.005811580090300376,0.1,0.25,0.845468869051233,0.8773470692601075,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.7079773630994096,0.7079773630994096,75.70408561266959,1,[],4,512,True,False,True,0.009548873458201667,0.1019081682210583,0.03876457364858621,0.035277841552811925,1000,0.0,0.8629778394351197,0.9794220519905155,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.6947916380843834,0.6947916380843834,98.21643414981664,1,[],4,1024,True,False,True,0.00010655924993232583,0.0072699848096738065,0.05780157105926375,0.005094234882279176,100,0.25,0.6626998490796339,0.9492982810236048,3,SWA,RandomNormal,True,False,normalize,classification,focal_crossentropy
0.7191351046121958,0.7191351046121958,62.786802232451734,1,[],4,1024,True,False,True,0.0005394720267647739,0.18104698016273907,0.02131749362142513,0.13430188268577667,0.1,0.5,0.6403861812204279,0.8048631932862909,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.6334349840729387,0.6334349840729387,53.90502773728222,1,[],6,512,True,False,True,0.06094747077200006,0.024263122856551952,0.1768516089838493,0.17488276715935244,0,0.5,0.9680773870803905,0.9392059593349946,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.7136208054159787,0.7136208054159787,156.13169565349818,1,[],6,2048,True,False,True,0.016684217902257097,0.06540802508033357,0.06674083714996225,0.018831997807701104,1000,0.0,0.8991475894833876,0.929992786155553,3,SWA,RandomNormal,True,False,normalize,classification,focal_crossentropy
0.7060155534965642,0.7060155534965642,141.31049426607788,1,[],4,2048,True,False,True,0.00012818193443923137,0.02785389673895686,0.037010015170179225,0.014388856461590693,1000,0.5,0.8849967765493054,0.8431642054993687,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.6933606091812238,0.6933606091812238,90.22615531645715,1,[],6,2048,True,False,True,0.0846362160256195,0.033582586020986,0.016457567635202043,0.09395199201026763,0.1,0.0,0.7044764722071349,0.8346588640141692,3,SWA,RandomNormal,True,False,normalize,classification,focal_crossentropy
0.722052236005043,0.722052236005043,291.78738476652654,1,[],6,2048,True,False,True,0.016356514014241656,0.03864367784149968,0.047751095299507676,0.023506852200990063,100,0.0,0.9277302920055036,0.9407315718760048,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
0.7124345546347001,0.7124345546347001,157.11168050393462,1,[],4,1024,True,False,True,0.007039637468468575,0.052050886809272466,0.005909486513360486,0.019912321077939624,100,0.5,0.513255655270811,0.9171551162546927,3,SWA,RandomNormal,True,False,normalize,classification,crossentropy
